SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
1,6181,New York,City,NY,0.908333333,0.918580376,0.894147531,0.920184037,0.921886763,0.917808219,0.93126989,0.927291886,0.8893066,0.930362117,0.924928902,0.926100959,0.91941052,0.923833733,0.920209454,0.919987273,0.92472119,0.922005571,0.932400932,0.933644548,0.926293757,0.917176492,0.921843687,0.922323791,0.909090909,0.908141962,0.913784463,0.917576006,0.914285714,0.924276169,0.934970535,0.932642487,0.936073059,0.935412027,0.93220339,0.930481283,0.924369748,0.93005287,0.928994083,0.940807388,0.947225981,0.961319681,0.957552358,0.962777721,0.965179502,0.958807663,0.957667153,0.955506234,0.960477277,0.955765199,0.957578038,0.953229399,0.966587112,0.967957276,0.969305331,0.969551887,0.967927662,0.964285714,0.959196191,0.961165049,0.965127895,0.963020031,0.955710956,0.958234111,0.968926628,0.972978984,0.973063668,0.977928693,0.976047904,0.971900546,0.966233766,0.968553175,0.967515964,0.965882353,0.967806711,0.964023531,0.970501475,0.973451327,0.975018857,0.977728285,0.972644377,0.975479744,0.969276907,0.971428571,0.973684211,0.969631094,0.963780026,0.96954227,0.972818312,0.973884657,0.976171406,0.976190476,0.973684211,0.969228995,0.967567568,0.966933868,0.966666667,0.961007188,0.963814503,0.964912281,0.971672176,0.970325364,0.972826087,0.968,0.964850507,0.95862069,0.954862964,0.952592412,0.94972067,0.946743479,0.943093714
2,12447,Los Angeles,City,CA,0.961786945,0.950849246,0.966243419,0.970873786,0.968006563,0.968834108,0.969899666,0.962509167,0.960384154,0.950704225,0.95,0.945757997,0.942857143,0.937422997,0.940842435,0.954773869,0.950764007,0.952380952,0.951197747,0.948280717,0.937924964,0.945317065,0.94371257,0.946737583,0.939746918,0.949554896,0.940438871,0.956577196,0.968253968,0.976453262,0.979937902,0.972540046,0.982711556,0.981675393,0.987866505,0.984455959,0.993209719,0.99653713,1,1,1.001669449,1.001791202,1.001064895,1.000250063,1,1,0.985074627,0.982740001,0.978473581,0.978686347,0.989974937,0.988337587,0.990694032,0.988322204,0.987635812,0.984202715,0.982857143,0.977494885,0.973303671,0.974632844,0.96969697,0.979257699,0.984974958,0.993150685,0.996485062,1,0.99246934,0.997097242,0.993733214,0.986883082,0.984615385,0.983673469,0.980601565,0.984481046,0.993447462,0.99783813,1,1,1,0.994683629,0.988842377,0.987306065,0.986132512,0.981481481,0.981580155,0.983050847,0.992770017,1,1,1,1,1,0.995581738,0.996152411,0.999132612,0.991019413,0.990723692,1,1,1,1.000002176,1,1,1,0.991983968,0.98524117,0.979787466,0.972457301,0.969183359,0.974968711,0.980619099
3,39051,Houston,City,TX,0.928087169,0.928624642,0.942297504,0.94699052,0.951096,0.955027778,0.925692302,0.929363102,0.932975758,0.913684706,0.909083385,0.901210046,0.891327269,0.898480392,0.888279856,0.913707023,0.90787717,0.892250205,0.905951592,0.906,0.894888696,0.907934884,0.900445849,0.907432954,0.898339643,0.920496006,0.907692308,0.914170679,0.916356133,0.93111399,0.929178047,0.945094737,0.941615193,0.9285,0.926565854,0.918580952,0.92320989,0.920762542,0.935135135,0.93025484,0.930020096,0.939599733,0.940265766,0.940072321,0.940751807,0.940086046,0.932355705,0.920021685,0.926978571,0.937374606,0.933604938,0.941906383,0.950679479,0.952065437,0.955656812,0.9894,0.958638149,0.941407646,0.941851064,0.953741259,0.971428571,0.959664889,0.957609861,0.961612437,0.964478922,0.963938161,0.95466544,0.959266476,0.950362886,0.946927068,0.944289694,0.942601369,0.944526998,0.938673342,0.947416982,0.949590242,0.956521739,0.962162162,0.962624196,0.962906383,0.938891146,0.929412361,0.9484792,0.937887147,0.934972497,0.937456814,0.941528627,0.944859722,0.952692802,0.955308073,0.953832727,0.950872587,0.941746858,0.950332505,0.949579832,0.941113354,0.94465205,0.940303422,0.941883768,0.952061856,0.96,0.95415573,0.95484091,0.950877647,0.949436923,0.947773928,0.932029675,0.923216835,0.937328353,0.940773279,0.940455303
4,17426,Chicago,City,IL,0.901333333,0.888221711,0.902255639,0.892133009,0.906278312,0.920994022,0.924003933,0.914205345,0.916754478,0.909883928,0.902564103,0.904159132,0.890510949,0.898977551,0.889397407,0.888635788,0.914572038,0.92,0.92,0.911049554,0.90687677,0.897812626,0.891566265,0.894933964,0.899503382,0.896535071,0.885897241,0.902777778,0.921146953,0.92881469,0.932222659,0.932148627,0.930312585,0.935087719,0.93431379,0.933628319,0.934602245,0.930851064,0.946089327,0.950591178,0.95523881,0.966988996,0.970285021,0.965229351,0.967311541,0.960796272,0.960467951,0.956976604,0.952662722,0.948979592,0.953262411,0.96069869,0.966827805,0.971428571,0.970020472,0.963614298,0.958762887,0.953545232,0.950475238,0.941565063,0.935779817,0.935950968,0.947706683,0.959540363,0.970711297,0.972904164,0.967365967,0.966386555,0.96,0.95576008,0.951903808,0.945798472,0.93736952,0.947113199,0.956940088,0.968931016,0.973084886,0.975487744,0.971918501,0.971341448,0.964912281,0.963636364,0.958502621,0.952626472,0.949880668,0.95,0.96344889,0.969899666,0.976220275,0.976344086,0.975612136,0.96774256,0.965499991,0.960966691,0.957032967,0.949840818,0.949431019,0.949852507,0.96969697,0.974437835,0.973339323,0.972979733,0.969293308,0.966480447,0.961569489,0.954979536,0.950679056,0.94304458,0.934782609,0.945422535,0.957235946
5,6915,San Antonio,City,TX,0.996645503,0.996123482,0.984033333,1,0.994289308,0.993774124,0.988689325,0.984409024,0.983494399,0.964280303,0.972614331,0.948708148,0.971058769,0.962904675,0.984503059,0.972565747,0.976958084,0.981243243,0.976698033,0.98154077,0.975485106,0.96422074,0.956521739,0.976725541,0.96916,0.956232666,0.986276512,0.97944917,0.991460674,0.995673558,0.989576471,0.995751917,0.996060241,0.989999518,0.992448499,0.982040178,0.995039106,0.983022141,0.993733504,1,1.002726552,1.00188,0.996360328,0.985416667,0.999921569,0.982412193,0.988571429,0.996725375,0.99180292,0.999372594,0.984044427,0.989822464,0.999604762,0.997767857,0.997528285,0.989731707,0.989187097,0.989388742,0.980769231,0.98512792,0.983549026,0.982878884,1,1,1.006550977,1,1,0.995437046,1,1,0.996391307,0.993327381,0.993415952,0.986603635,0.999857717,1,1,1,1.000526593,1,1,0.993027523,0.994371482,0.984375,0.98521178,0.98820059,0.990336588,0.99337646,1,1,1,1,0.991272446,0.991876989,0.987192987,0.978251414,0.98173913,0.984091364,0.991871212,1,1,1,1,0.993669597,0.990216802,0.988013953,0.988237838,0.984454289,0.990339358,0.99485,0.999814281
6,13271,Philadelphia,City,PA,0.920858231,0.918921402,0.920736589,0.927169906,0.938970713,0.944969427,0.933715377,0.931127357,0.928091219,0.899602462,0.90839107,0.909035779,0.911039657,0.901803607,0.909090909,0.90437361,0.908854693,0.918189407,0.917239981,0.911854103,0.902654867,0.900225056,0.885183168,0.895050895,0.883392226,0.887908348,0.895959552,0.9,0.904923053,0.916000316,0.926340494,0.922958398,0.911764706,0.907424105,0.912240185,0.913341318,0.909070239,0.893617021,0.916905444,0.917176209,0.934579439,0.941286114,0.943396226,0.929013816,0.929824561,0.92850332,0.90739879,0.912648397,0.921537651,0.912301354,0.916455696,0.921409214,0.932462859,0.944881898,0.940816691,0.929411765,0.924369748,0.926838429,0.923076923,0.919129364,0.913294798,0.920371975,0.92,0.918028963,0.948180005,0.949968334,0.948375219,0.947550988,0.9375,0.936568753,0.931677019,0.933333333,0.931183505,0.928241616,0.933333333,0.945626478,0.958208273,0.961908426,0.963676798,0.961145194,0.956263899,0.95290637,0.953425146,0.947721941,0.946792923,0.939851932,0.948888889,0.961389961,0.963855422,0.972206782,0.969230769,0.965385837,0.961281312,0.961538462,0.959457446,0.950452596,0.947105075,0.95,0.953597275,0.962250449,0.972440945,0.976190476,0.976493456,0.973428571,0.97407764,0.960339815,0.960384154,0.955846217,0.945741134,0.943242615,0.946791862
7,40326,Phoenix,City,AZ,0.942307692,0.940294118,0.935017204,0.922033898,0.944794368,0.9375,0.932848142,0.920245399,0.918580376,0.911300458,0.917431193,0.900240068,0.914106863,0.892873618,0.899031812,0.918880012,0.930909091,0.946457545,0.957827019,0.961538462,0.950772536,0.969230769,0.964705882,0.961281709,0.968468468,0.968075873,0.974739845,0.978449068,1,1,0.99726776,1,0.98671713,0.996655814,0.984372216,0.98134377,0.972936401,0.968196974,0.972281324,0.97665555,0.980732177,0.980473856,0.979438733,0.975542798,0.975569766,0.969946832,0.962649882,0.957228386,0.956738287,0.960623041,0.955414013,0.955980436,0.957723033,0.96,0.960971431,0.955831566,0.96,0.955555556,0.951416208,0.958599611,0.955357143,0.962278676,0.967741935,0.968888889,0.972762646,0.97014034,0.973578537,0.973284672,0.971408134,0.970724191,0.96969697,0.967694497,0.96505024,0.969148936,0.970261558,0.97411146,0.973333333,0.973621646,0.972582438,0.971716447,0.971086999,0.969565217,0.971198761,0.968867841,0.967816092,0.971491091,0.974196946,0.975919722,0.976390556,0.977209827,0.976744186,0.977013423,0.973584771,0.97525188,0.971497969,0.968316979,0.972214502,0.974747475,0.978846154,0.981818182,0.982745686,0.981304043,0.983193277,0.978103596,0.973684211,0.975,0.973333333,0.972790479,0.969355847,0.970354677,0.974675463
8,18959,Las Vegas,City,NV,0.976496738,0.968054211,0.965596612,0.968366688,0.968323578,0.969139543,0.964361061,0.963165663,0.962086289,0.952380952,0.945362168,0.932415519,0.932886486,0.931034483,0.936538345,0.939979331,0.945273632,0.949367089,0.952026907,0.957894737,0.944931164,0.949046701,0.951099732,0.947338296,0.949388691,0.948535436,0.960362218,0.972727273,0.988117573,0.989922133,1,1,1,0.993289044,0.999027266,1,1,1,1,1,1,1,1,1,0.991987269,0.983138039,0.975813178,0.967676636,0.966442953,0.9687848,0.964399521,0.973799127,0.974794616,0.975987988,0.970917226,0.975642716,0.96313177,0.964285714,0.963693238,0.96,0.959731544,0.960548885,0.968,0.967773154,0.971428571,0.972665148,0.974064194,0.972330259,0.972222222,0.968310328,0.963270734,0.961032122,0.965517241,0.968169761,0.96842615,0.975447082,0.973684211,0.973293769,0.974899964,0.97480503,0.973969509,0.969355847,0.970738739,0.970323441,0.971281058,0.972689161,0.979270908,0.982745686,0.985130112,0.987506172,0.990888335,0.99070632,0.985558686,0.984604368,0.982222222,0.98307403,0.982142857,0.98615917,0.990765679,0.992694513,0.992306509,0.995283019,0.992396959,0.988235294,0.982731512,0.980392157,0.973333333,0.969072165,0.969367972,0.966101695,0.972666728
9,54296,San Diego,City,CA,0.955017858,0.95625,0.971069854,0.967620165,0.976522382,0.959308934,0.963581184,0.962833463,0.954685458,0.945330296,0.940274895,0.942164442,0.940589806,0.942333333,0.946065921,0.935418189,0.952380952,0.939097772,0.93681823,0.940803036,0.943460958,0.93779306,0.937297297,0.934349321,0.934673367,0.937591134,0.948409424,0.959614672,0.963636364,0.97030021,0.970522803,0.971223022,0.976196844,0.967604809,0.970230041,0.977457724,0.98450091,0.989934921,0.989388569,1,1,1,1,0.987379825,0.977443609,0.970970971,0.966876456,0.961731155,0.961439589,0.971279168,0.970742212,0.973333333,0.97497843,0.974285714,0.971658287,0.967419966,0.961038961,0.959893728,0.953757225,0.953224143,0.956521739,0.961904762,0.969899666,0.975879373,0.976923077,0.983558285,0.981656847,0.974710221,0.978520286,0.969171369,0.97212579,0.96969697,0.97161702,0.974025974,0.983333333,0.988372093,0.986745214,0.988998778,0.987436824,0.981681136,0.979381443,0.977035491,0.977443609,0.976106934,0.978494624,0.984848485,0.993327769,0.995505618,1,1,0.991633747,0.986155485,0.989208633,0.982467119,0.984042553,0.978082192,0.983673197,0.992,0.993043478,0.99303083,0.991111111,0.991790461,0.988094289,0.981887512,0.975609756,0.968054211,0.963811602,0.957265397,0.962264151,0.967741935,0.972972973
10,38128,Dallas,City,TX,0.949608683,0.912304262,0.952475908,0.935586992,0.951153488,0.934638487,0.928359837,0.894780883,0.951984436,0.929394769,0.907867083,0.890603518,0.870800931,0.928496599,0.902044927,0.917448107,0.911285214,0.91928795,0.941069124,0.922973978,0.907043382,0.92582559,0.9161716,0.925977896,0.92939147,0.958564641,0.947270273,0.944368482,0.953545455,0.929767009,0.950027586,0.935412027,0.962730825,0.947918124,0.949053401,0.936994286,0.948769051,0.960193814,0.937492198,0.94959831,0.955956714,0.951836735,0.948646086,0.955688889,0.936350711,0.944266765,0.944434738,0.920512417,0.92920354,0.937960115,0.946217391,0.945653213,0.939942857,0.944134078,0.937896071,0.94011976,0.952995073,0.935918216,0.93226351,0.941015938,0.93862068,0.927469516,0.953229348,0.954398131,0.953751111,0.94864951,0.952,0.955789474,0.948148148,0.940456365,0.931377885,0.93479785,0.933357724,0.95377816,0.944183333,0.949295997,0.958284472,0.952668608,0.968389876,0.95,0.953505495,0.963361452,0.944239833,0.945945946,0.96005036,0.932217612,0.954009302,0.951725333,0.963610766,0.962201258,0.966935652,0.952380952,0.961566688,0.949650251,0.945575713,0.955055138,0.949873418,0.938961152,0.949980702,0.96031746,0.959621622,0.959124363,0.951260175,0.950868745,0.947744,0.959727336,0.933288859,0.947303544,0.968398964,0.963775745,0.969521045
